Name,Age,Health Index,Family Size,family income
"Clive,",1298,0.3815785593267008,56,1778710
"Ferguson,",360,0.11653933729325672,82,1237893
"Berger,",560,0.6880620016484513,69,482123
"Jean,",1145,0.9290974977114076,25,1743869
"Gassée,",243,0.9756449809527836,24,76585
"NormanRalph,",1063,0.7144118458269304,53,21700
"Donald,",295,0.6969104005591711,66,1612274
"Jay,",311,0.4018496354752258,29,697465
"Morgenstern, Christian,",82,0.4978502812025165,23,411206
"Neil,",1261,0.4492893359911564,68,580284
"Al-Hallaj,",1269,0.034458717802169025,73,946752
"O.,",410,0.6691164557237076,74,637271
"Mitchell, John,",309,0.7391808290073993,71,1472782
"Ingelow,",457,0.9327722626978727,66,1177579
"Navakasuasua, Maciu,",514,0.53404808713964,23,739331
"Jobs,",323,0.6359421988948901,72,699772
"Malraux,",493,0.6974820353358697,1,989623
"Carrie,",851,0.20131724821150854,24,289185
"Buscaglia,",532,0.7140992152584392,76,1703510
"Shelley,",424,0.6534447673079377,57,520710
"Premchand, Munshi,",464,0.549492598617221,46,1469544
"Judy,",863,0.31736332911939924,55,1611960
"Václav,",907,0.07118963275493428,40,1256961
"Alfred Whitney,",1100,0.1902079075922587,82,389744
"George,",172,0.1348511571281319,0,42916
"Eddie,",1134,0.5690574218769514,60,884997
"Alfred,",766,0.9534103670359889,19,1784317
"Ja-Jo,",1124,0.4085714231170626,2,1649027
"Henry,",102,0.5031358599630856,13,212319
"Alan,",793,0.004686743284566752,64,1594156
"Housman,",1093,0.31006806257101116,0,168317
"Cole,",673,0.8093864353647057,71,1664844
"Marlowe,",72,0.5201732580336463,59,449185
"Parker, Dorothy,",663,0.7595818493426614,48,1109103
"Jack,",866,0.10878944632319276,25,1187762
"Mao Zedong,",727,0.8001736434355353,74,1252540
"Lindsey,",21,0.6401734045403491,71,66733
"Judy,",1169,0.7543967726502968,58,1694893
"Caroline,",215,0.0507010301948736,81,1250803
"Murrow, Edward R.,",883,0.7575662375698234,88,1636844
"Spiro,",59,0.59273782123259,33,1516950
"Alp,",199,0.305372120620783,53,1296102
"Overbury, Thomas,",649,0.30684310451481767,49,27173
"Nicolaus,",387,0.3470571395515448,48,831578
"Lee,",88,0.6133477037934059,15,399343
"Jackson,",1094,0.661169226267697,32,1744170
"Michelangelo,",266,0.35491000126614924,31,1784615
"Mitch,",512,0.6720261274193272,0,1107645
"Oliver, Jamie,",711,0.357571986792782,78,1601362
"Adi Asenaca,",1027,0.387088211434202,48,491242
"George,",1267,0.027638892949435,45,615466
"Hundertwasser,",1067,0.7125247486877653,50,590170
"Curie,",350,0.8493292723493746,56,1573366
"Mumpfield, Susie,",974,0.8036950458417371,34,1028809
"Francis of Assisi,",871,0.5292427580040404,14,807916
"Fields,",64,0.5636721142367893,41,611942
"Edison,",635,0.998533741774449,44,1740289
"Earl of Wessex,",99,0.34474335673172296,54,1728570
"Sandra,",464,0.7666554778049919,38,1649496
"Werner,",1162,0.20519821913349356,38,364658
"Buckles,",9,0.6117366931197676,34,1142236
"Jane,",857,0.08800342343790302,42,1124018
"Luis,",1151,0.717379095577527,69,467248
"Josh,",983,0.7122029878443292,36,384861
"Allee,",164,0.9848899243355359,62,380659
"Janáček,",474,0.818141147691088,41,1648950
"Thomas Stearns,",791,0.8665509905186933,72,1337311
"Eden,",71,0.4295739280966918,29,993053
"Zbigniew,",1159,0.49236825421891095,19,1520265
"Spiro,",292,0.5726100839278199,49,141421
"Garfield,",626,0.5416721737927658,18,104136
"Abel,",1145,0.3174017125831228,30,1061763
"Lloyd,",291,0.7455074288135887,16,1649866
"Katie,",108,0.286760727055846,44,977494
"Jesse Lauriston,",1193,0.27440611860506536,71,1656938
"Robert,",793,0.8967252572113417,1,1533482
"Paul,",482,0.08566087843801551,44,1203798
"Miguel de,",511,0.48406282063043615,53,1225276
"Anne,",919,0.015215944894165445,7,1116040
"Jean,",504,0.25371330889979016,18,1552814
"Gygax,",1261,0.5986619895069204,63,1293501
"Abraham,",669,0.7624948988065678,4,770053
"Boretz,",975,0.8505424200980936,56,202101
"Keller,",1293,0.14967481760107026,62,1724354
"Lloyd,",318,0.5997535677739946,84,1097699
"Brian,",268,0.877293118785667,34,766671
"Alexander,",731,0.16677570081124715,11,1678043
"Frank,",429,0.38033649449955254,28,1778302
"Christie,",1098,0.13253615307463784,20,51570
"Damien,",214,0.9419046008008846,59,986383
"Duff,",492,0.6885426075456857,15,672580
"Friedman,",719,0.5894987979419832,77,597102
"Boileau-Despreaux,",693,0.14386258375803673,31,805839
"Corea,",228,0.4609652681900662,73,850697
"François-René de,",653,0.0008626672015792369,39,545443
"Fulghum,",856,0.8720916731496642,29,737272
"Will Jr.,",855,0.2750995950749322,8,1247218
"Steve,",1026,0.18103508024305814,18,465698
"Brontë,",174,0.42388018265957994,84,569819
"Nixon, Richard,",1210,0.4868055220038814,1,1385346
"Johnnie,",37,0.8388829865536486,41,1516567
"Omar,",904,0.6000119159095159,5,937173
"Fletcher,",949,0.5166304422489183,65,153201
"Jack,",175,0.9472623064743664,42,1279092
"Anne,",1284,0.06726924376154353,41,14794
"James,",195,0.09529222388545422,17,96443
"Michael,",553,0.20583084117157757,69,927566
"Irvine,",170,0.9108096297527207,32,1175761
"Dyer,",819,0.7131031055163564,79,756804
"Hellman,",927,0.6769207704103141,79,1668944
"Lord,",633,0.8610901870465839,41,812502
"Bagehot,",960,0.09397377205101654,47,1174369
"Diana ,",182,0.10598151794210964,40,273331
"Milosz, Ceslaw,",83,0.37518497857792965,43,743842
